                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4179,                 2.0039,                 1.5424,                 0.2795,                 0.2657,                0.21772,                0.11585,                 1.6807,                 2.1328,                 1.7975,             0.00033261,             0.00033261,             0.00033261
                      2,                  1.493,                 1.9695,                 1.6222,                0.26359,                0.23626,                0.18438,                0.09943,                 1.6137,                 2.2676,                 1.7742,             0.00063297,             0.00063297,             0.00063297
                      3,                 1.4879,                 1.9206,                  1.618,                0.30049,                0.25171,                0.22783,                0.12325,                 1.6057,                 2.1142,                 1.7329,             0.00090034,             0.00090034,             0.00090034
                      4,                 1.4433,                 1.8473,                 1.5851,                0.37016,                0.31981,                0.30727,                0.18413,                 1.5005,                 1.6862,                 1.6451,              0.0008515,              0.0008515,              0.0008515
                      5,                  1.396,                  1.776,                  1.561,                0.37528,                0.31218,                0.29486,                 0.1748,                 1.5026,                 1.7484,                 1.6243,              0.0008515,              0.0008515,              0.0008515
                      6,                 1.3602,                 1.6832,                   1.53,                0.40932,                0.35935,                0.35137,                0.21655,                 1.4156,                 1.5436,                 1.5632,               0.000802,               0.000802,               0.000802
                      7,                 1.3322,                 1.6311,                 1.5069,                0.39364,                0.33421,                0.31819,                0.19881,                 1.3732,                 1.6514,                 1.5217,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.3164,                 1.5641,                 1.4876,                0.44096,                0.36646,                0.36894,                0.23474,                 1.3652,                 1.5218,                 1.5266,               0.000703,               0.000703,               0.000703
                      9,                 1.2927,                 1.4915,                 1.4737,                0.44241,                 0.3907,                0.37871,                0.24525,                 1.3012,                 1.4985,                 1.4703,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.2746,                 1.4423,                 1.4611,                0.48267,                0.36231,                0.39758,                0.25774,                 1.2964,                 1.4157,                 1.4885,               0.000604,               0.000604,               0.000604
                     11,                 1.3101,                 1.4843,                 1.5234,                0.51225,                0.39867,                0.44478,                0.29813,                 1.2433,                 1.3194,                 1.4555,              0.0005545,              0.0005545,              0.0005545
                     12,                 1.2907,                 1.4423,                 1.5114,                0.51596,                0.39689,                0.43535,                 0.2919,                 1.2704,                 1.3046,                 1.4568,               0.000505,               0.000505,               0.000505
                     13,                 1.2538,                 1.3754,                 1.4836,                0.45794,                0.39203,                0.39514,                0.26576,                 1.2332,                 1.3701,                 1.4231,              0.0004555,              0.0004555,              0.0004555
                     14,                 1.2472,                 1.3376,                 1.4777,                0.50775,                0.38581,                0.42564,                0.28736,                 1.2302,                 1.3231,                 1.4527,               0.000406,               0.000406,               0.000406
                     15,                 1.2274,                 1.2867,                 1.4576,                 0.5037,                0.41936,                0.44037,                0.29271,                 1.2141,                 1.2696,                 1.4091,              0.0003565,              0.0003565,              0.0003565
                     16,                 1.2027,                 1.2254,                 1.4352,                0.52538,                0.45014,                0.47777,                0.32587,                 1.1935,                  1.166,                 1.4045,               0.000307,               0.000307,               0.000307
                     17,                 1.1793,                 1.1818,                 1.4153,                0.56302,                0.41782,                 0.4864,                0.33094,                  1.203,                 1.1686,                 1.3854,              0.0002575,              0.0002575,              0.0002575
                     18,                 1.1655,                 1.1327,                 1.4092,                0.53714,                0.42978,                0.48297,                 0.3311,                 1.1705,                 1.1578,                 1.3793,               0.000208,               0.000208,               0.000208
                     19,                 1.1449,                 1.0873,                 1.3887,                0.55206,                0.42666,                0.49058,                0.33692,                 1.1807,                 1.1469,                 1.3683,              0.0001585,              0.0001585,              0.0001585
                     20,                 1.1307,                 1.0394,                 1.3771,                0.57501,                0.44033,                0.50772,                0.34873,                 1.1671,                 1.1013,                 1.3619,               0.000109,               0.000109,               0.000109
